case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.9977026724173826,0.6921879053115845,1.2062636613845825,5.170656681060791,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.9958458125147409,0.814744234085083,1.173270583152771,5.198897361755371,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.9898806064662974,1.0170786380767822,1.0430165529251099,5.230354309082031,-0.9059686326840193,-0.4085571881929415
